nodes,distance
"[6670313709, 6631814290]",4.614742
"[6670313709, 6631814290]",6.195594
"[6670313709, 6631814290]",4.179907
"[6670313709, 6631814290]",8.12234
"[6631814287, 103017231]",10.239246
"[6631814287, 103017231]",9.480111
"[6631814287, 103017231]",8.800062
"[6631814287, 103017231]",5.763403
"[6631814289, 103017231]",6.830127
"[6670480158, 6631814289]",4.149851
"[6670480158, 6631814289]",3.516954
"[6670480158, 6631814289]",2.454202
"[6670480158, 6631814289]",1.821872
"[6670480161, 6670480158]",0.0
"[6670480161, 6670480158]",0.86061
"[6670480161, 6670480158]",1.922874
"[6670480161, 6670480158]",0.430305
"[6670480161, 6670480158]",0.207909
"[6670480161, 6670480158]",0.736057
"[6670480161, 6670480160]",0.672356
"[8299505461, 6670313473]",2.555586
"[8299505461, 6670313473]",0.103955
"[8299505461, 103017230]",0.86061
"[8299505461, 103017230]",4.048353
"[6600775476, 103017230]",11.342975
"[6600775476, 103017230]",12.533406
"[6600775476, 103017230]",13.095801
"[6600775476, 103017230]",13.856357
"[6600775476, 103017230]",12.533406
"[6684845257, 6684845256]",1.995524
"[308714676, 103017228]",15.197398
"[308714676, 103017228]",14.962091
"[308714676, 103017228]",15.009939
"[103017228, 6638887042]",13.270485
"[103017228, 6638887042]",8.534441
"[103017228, 6638887042]",8.42822
"[103017228, 6638887042]",5.64454
"[308714676, 103017228]",2.683243
"[308714676, 103017228]",2.164632
"[6600775477, 103017228]",4.872335
"[6579800148, 6600775477]",4.38309
"[6579800148, 6600775477]",6.960479
"[6579800148, 6579800147]",4.025581
"[6579800148, 6579800147]",2.125734
"[6579800148, 324286168]",2.921649
"[6579800148, 324286168]",0.591316
"[6579800148, 324286168]",1.392096
"[324286168, 6600828332]",1.392096
"[324286168, 6600828332]",3.48024
"[324286168, 6600828332]",5.114809
"[324286168, 6600828332]",3.48024
"[324286168, 6600828332]",2.54204
"[6600828332, 317968553]",1.74012
"[317968553, 103021827]",1.392096
"[317968553, 103021827]",2.54204
"[317968553, 103021827]",0.938997
"[317968553, 103021827]",1.392096
"[317968553, 103021827]",1.044072
"[317968553, 103021827]",0.244612
"[1748255105, 103021827]",3.590416
"[11680278602, 1748255105]",2.425068
"[11680278602, 1748255105]",2.122012
"[11680278602, 1748255105]",1.970562
"[103022495, 2326711403]",3.183274
